step,frac_low_action,frac_low_action_wet,min_action
1000,0.1,nan,0.0
2000,0.1076923076923077,nan,0.0
3000,0.09230769230769231,nan,0.0
4000,0.11538461538461539,nan,0.0
5000,0.2153846153846154,nan,0.0
6000,0.1,nan,0.0
7000,0.08461538461538462,nan,0.0
8000,0.13076923076923078,nan,0.0
9000,0.15384615384615385,nan,0.0
10000,0.16923076923076924,nan,0.0
11000,0.1,nan,0.0
12000,0.08461538461538462,nan,0.0
13000,0.18461538461538463,nan,0.0
14000,0.1,nan,0.0
15000,0.08461538461538462,nan,0.0
16000,0.13076923076923078,nan,0.0
17000,0.11538461538461539,nan,0.0
18000,0.13846153846153847,nan,0.0
19000,0.1,nan,0.0
20000,0.12307692307692308,nan,0.0
21000,0.13846153846153847,nan,0.0
22000,0.08461538461538462,nan,0.0
23000,0.07692307692307693,nan,0.0
24000,0.12307692307692308,nan,0.0
25000,0.09230769230769231,nan,0.0
26000,0.1,nan,0.0
27000,0.12307692307692308,nan,0.0
28000,0.06923076923076923,nan,0.0
29000,0.12307692307692308,nan,0.0
30000,0.09230769230769231,nan,0.0
31000,0.15384615384615385,nan,0.0
32000,0.12307692307692308,nan,0.0
33000,0.11538461538461539,nan,0.0
34000,0.05384615384615385,nan,0.0
35000,0.12307692307692308,nan,0.0
36000,0.11538461538461539,nan,0.0
37000,0.1,nan,0.0
38000,0.1,nan,0.0
39000,0.07692307692307693,nan,0.0
40000,0.14615384615384616,nan,0.0
41000,0.16153846153846155,nan,0.0
42000,0.1076923076923077,nan,0.0
43000,0.11538461538461539,nan,0.0
44000,0.13846153846153847,nan,0.0
45000,0.18461538461538463,nan,0.0
46000,0.09230769230769231,nan,0.0
47000,0.13846153846153847,nan,0.0
48000,0.11538461538461539,nan,0.0
49000,0.13076923076923078,nan,0.0
50000,0.08461538461538462,nan,0.0
51000,0.6846153846153846,nan,0.0
52000,0.676923076923077,nan,0.0
53000,0.0,nan,0.22073286771774292
54000,0.6846153846153846,nan,0.0
55000,0.5307692307692308,nan,0.0
56000,0.6,nan,0.0
57000,0.7076923076923077,nan,0.0
58000,0.6923076923076923,nan,0.0
59000,0.7538461538461538,nan,0.0
60000,0.038461538461538464,nan,0.0
61000,0.3769230769230769,nan,0.0
62000,0.49230769230769234,nan,0.0
63000,0.18461538461538463,nan,0.0
64000,0.12307692307692308,nan,0.0
65000,0.0,nan,0.3475292921066284
66000,0.023076923076923078,nan,0.0
67000,0.0,nan,0.08851045370101929
68000,0.007692307692307693,nan,0.06886941194534302
69000,0.3153846153846154,nan,0.0
70000,0.46923076923076923,nan,0.0
71000,0.7461538461538462,nan,0.0
72000,0.015384615384615385,nan,0.022653818130493164
73000,0.38461538461538464,nan,0.0
74000,0.0,nan,0.2764257788658142
75000,0.0,nan,0.2927635908126831
76000,0.0,nan,0.16261005401611328
77000,0.18461538461538463,nan,0.0
78000,0.0,nan,0.2601795196533203
79000,0.0,nan,0.21523520350456238
80000,0.0,nan,0.13465505838394165
81000,0.007692307692307693,nan,0.05467233061790466
82000,0.09230769230769231,nan,0.0
83000,0.09230769230769231,nan,0.0
84000,0.0,nan,0.3251354694366455
85000,0.0,nan,0.1333804428577423
86000,0.0,nan,0.12622791528701782
87000,0.0,nan,0.288327157497406
88000,0.0,nan,0.2990874946117401
89000,0.0,nan,0.730190634727478
90000,0.0,nan,0.28127968311309814
91000,0.3076923076923077,nan,0.0
92000,0.7846153846153846,nan,0.0
93000,0.015384615384615385,nan,0.06684249639511108
94000,0.0,nan,0.3752285838127136
95000,0.0,nan,0.6010249853134155
96000,0.0,nan,0.2923516631126404
97000,0.07692307692307693,nan,0.0
98000,0.6153846153846154,nan,0.0
99000,0.015384615384615385,nan,0.02893829345703125
100000,0.4307692307692308,nan,0.0
101000,0.24615384615384617,nan,0.0
102000,0.0,nan,0.49063533544540405
103000,0.0,nan,0.25883764028549194
104000,0.7,nan,0.0
105000,0.38461538461538464,nan,0.0
106000,0.0,nan,0.5030679702758789
107000,0.0,nan,0.21107438206672668
108000,0.4307692307692308,nan,0.0
109000,0.35384615384615387,nan,0.0
110000,0.05384615384615385,nan,0.0
111000,0.36153846153846153,nan,0.0
112000,0.0,nan,0.23141121864318848
113000,0.015384615384615385,nan,0.0
114000,0.0,nan,0.44197478890419006
115000,0.0,nan,0.5610067248344421
116000,0.2692307692307692,nan,0.0
117000,0.0,nan,0.3628774881362915
118000,0.0,nan,0.6259535551071167
119000,0.05384615384615385,nan,0.0
120000,0.0,nan,0.5441973805427551
121000,0.07692307692307693,nan,0.0067334771156311035
122000,0.0,nan,0.24951466917991638
123000,0.0,nan,0.35095155239105225
124000,0.0,nan,0.5676116943359375
125000,0.007692307692307693,nan,0.05503237247467041
126000,0.0,nan,0.45320266485214233
127000,0.007692307692307693,nan,0.04695984721183777
