step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
50000,-0.7611,0.0000,-0.7611,nan,-2.7304,nan
75000,-11.6835,0.0000,-11.6835,nan,-0.2917,nan
100000,-14.0702,0.0000,-14.0702,nan,-0.3130,nan
125000,-6.7480,0.0000,-6.7480,nan,-0.1138,nan
150000,-2.5785,0.0000,-2.5785,nan,-0.1163,nan
175000,-3.8948,0.0000,-3.8948,nan,-0.0876,nan
200000,-2.7618,0.0000,-2.7618,nan,-0.0965,nan
225000,-2.8154,0.0000,-2.8154,nan,-0.0911,nan
250000,-3.0231,0.0000,-3.0231,nan,-0.1038,nan
