step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,293.4605,411.4068,-117.9462,-28.67,-1.2215,-88.4746
50000,389.3685,412.6048,-23.2363,-5.63,-0.6873,-88.7322
75000,416.3661,404.0764,12.2897,3.04,-4.5221,-86.8982
100000,423.3465,408.5464,14.8000,3.62,-2.1018,-87.8594
125000,393.6991,413.0156,-19.3165,-4.68,-1.2980,-88.8206
150000,408.8937,419.6502,-10.7565,-2.56,-4.1107,-90.2474
175000,415.7195,413.7277,1.9918,0.48,-1.9289,-88.9737
200000,421.4912,418.2870,3.2042,0.77,-1.1346,-89.9542
225000,421.9813,412.0217,9.9596,2.42,-3.2538,-88.6068
250000,410.6649,412.9706,-2.3057,-0.56,-2.7702,-88.8109
