step,frac_low_action,frac_low_rolling,collapsed
2000,0.1076923076923077,0.1076923076923077,0
4000,0.11538461538461539,0.11153846153846154,0
6000,0.1,0.1076923076923077,0
8000,0.13076923076923078,0.11346153846153847,0
10000,0.16923076923076924,0.12461538461538461,0
12000,0.08461538461538462,0.11794871794871796,0
14000,0.1,0.11538461538461539,0
16000,0.13076923076923078,0.11730769230769231,0
18000,0.13846153846153847,0.12115384615384617,0
20000,0.12307692307692308,0.12211538461538463,0
22000,0.08461538461538462,0.12019230769230771,0
24000,0.12307692307692308,0.11923076923076922,0
26000,0.1,0.11057692307692309,0
28000,0.06923076923076923,0.10865384615384616,0
30000,0.09230769230769231,0.1076923076923077,0
32000,0.12307692307692308,0.10673076923076924,0
34000,0.05384615384615385,0.09615384615384616,0
36000,0.11538461538461539,0.09519230769230769,0
38000,0.1,0.09711538461538463,0
40000,0.14615384615384616,0.1,0
42000,0.1076923076923077,0.10096153846153846,0
44000,0.13846153846153847,0.10961538461538461,0
46000,0.09230769230769231,0.10961538461538461,0
48000,0.11538461538461539,0.10865384615384616,0
50000,0.08461538461538462,0.1125,0
52000,0.6384615384615384,0.1778846153846154,0
54000,0.6153846153846154,0.2423076923076923,0
56000,0.015384615384615385,0.2259615384615385,0
58000,0.007692307692307693,0.21346153846153845,0
60000,0.007692307692307693,0.1971153846153846,0
62000,0.0,0.18557692307692308,0
64000,0.46153846153846156,0.22884615384615387,0
66000,0.49230769230769234,0.2798076923076923,0
68000,0.13076923076923078,0.21634615384615385,0
70000,0.2692307692307692,0.17307692307692307,0
72000,0.007692307692307693,0.17211538461538461,0
74000,0.23846153846153847,0.20096153846153847,0
76000,0.03076923076923077,0.20384615384615387,0
78000,0.05384615384615385,0.2105769230769231,0
80000,0.06923076923076923,0.16153846153846155,0
82000,0.0,0.1,0
84000,0.3384615384615385,0.12596153846153846,0
86000,0.34615384615384615,0.1355769230769231,0
88000,0.0,0.13461538461538464,0
90000,0.7307692307692307,0.19615384615384612,0
92000,0.007692307692307693,0.19326923076923075,0
94000,0.08461538461538462,0.1971153846153846,0
96000,0.0,0.18846153846153846,0
98000,0.1,0.20096153846153844,0
100000,0.0,0.15865384615384615,0
102000,0.046153846153846156,0.12115384615384615,0
104000,0.0,0.12115384615384615,0
106000,0.38461538461538464,0.07788461538461539,0
108000,0.0,0.07692307692307693,0
110000,0.19230769230769232,0.0903846153846154,0
112000,0.007692307692307693,0.09134615384615385,0
114000,0.0,0.07884615384615384,0
116000,0.0,0.07884615384615384,0
118000,0.34615384615384615,0.11634615384615385,0
120000,0.007692307692307693,0.11730769230769231,0
122000,0.015384615384615385,0.07115384615384615,0
124000,0.0,0.07115384615384615,0
126000,0.0,0.047115384615384615,0
128000,0.0,0.04615384615384615,0
130000,0.0,0.046153846153846156,0
132000,0.015384615384615385,0.04807692307692307,0
134000,0.08461538461538462,0.015384615384615385,0
136000,0.0,0.014423076923076924,0
138000,0.015384615384615385,0.014423076923076924,0
140000,0.0,0.014423076923076924,0
142000,0.5615384615384615,0.0846153846153846,0
144000,0.7923076923076923,0.18365384615384617,0
146000,0.0,0.18365384615384617,0
148000,0.0,0.18173076923076925,0
150000,0.0,0.17115384615384616,0
152000,0.0,0.17115384615384616,0
154000,0.18461538461538463,0.19230769230769232,0
156000,0.0,0.19230769230769232,0
158000,0.0,0.12211538461538461,0
160000,0.0,0.023076923076923078,0
162000,0.7,0.11057692307692307,0
164000,0.015384615384615385,0.11249999999999999,0
166000,0.24615384615384617,0.14326923076923076,0
168000,0.4230769230769231,0.19615384615384615,0
170000,0.08461538461538462,0.18365384615384614,0
172000,0.7307692307692307,0.275,0
174000,0.046153846153846156,0.28076923076923077,0
176000,0.06153846153846154,0.28846153846153844,0
178000,0.0,0.20096153846153844,0
180000,0.015384615384615385,0.20096153846153847,0
182000,0.007692307692307693,0.17115384615384613,0
184000,0.007692307692307693,0.11923076923076924,0
186000,0.0,0.10865384615384614,0
188000,0.023076923076923078,0.020192307692307693,0
190000,0.9076923076923077,0.12788461538461537,0
192000,0.3384615384615385,0.16249999999999998,0
194000,0.4076923076923077,0.21346153846153848,0
196000,0.0,0.21153846153846154,0
198000,0.46923076923076923,0.2692307692307693,0
200000,0.1076923076923077,0.28173076923076923,0
202000,0.03076923076923077,0.28557692307692306,0
204000,0.0,0.2826923076923077,0
206000,0.0,0.16923076923076924,0
208000,0.0,0.12692307692307692,0
210000,0.05384615384615385,0.0826923076923077,0
212000,0.8846153846153846,0.19326923076923075,0
214000,0.7923076923076923,0.23365384615384613,0
216000,0.0,0.2201923076923077,0
218000,0.0,0.21634615384615383,0
220000,0.8923076923076924,0.3278846153846154,0
222000,0.11538461538461539,0.3423076923076923,0
224000,0.0,0.3423076923076923,0
226000,0.0,0.33557692307692305,0
228000,0.0,0.225,0
230000,0.13846153846153847,0.14326923076923076,0
232000,0.0,0.14326923076923076,0
234000,0.06923076923076923,0.1519230769230769,0
236000,0.0,0.04038461538461539,0
238000,0.03076923076923077,0.02980769230769231,0
240000,0.0,0.02980769230769231,0
242000,0.023076923076923078,0.032692307692307694,0
244000,0.0,0.032692307692307694,0
246000,0.4846153846153846,0.07596153846153846,0
248000,0.0,0.07596153846153846,0
250000,0.0,0.0673076923076923,0
