step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
50000,-0.4869,0.0000,-0.4869,nan,-2.7411,nan
75000,-5.4872,0.0000,-5.4872,nan,-0.1596,nan
100000,-4.5650,0.0000,-4.5650,nan,-0.0478,nan
125000,-4.2408,0.0000,-4.2408,nan,-0.0373,nan
150000,-2.3264,0.0000,-2.3264,nan,-0.0278,nan
175000,-1.8596,0.0000,-1.8596,nan,-0.0300,nan
200000,-1.6760,0.0000,-1.6760,nan,-0.0256,nan
225000,-1.9127,0.0000,-1.9127,nan,-0.0230,nan
250000,-1.9774,0.0000,-1.9774,nan,-0.0233,nan
