step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
50000,-0.4869,0.0000,-0.4869,nan,-7.6222,nan
75000,-21.1713,0.0000,-21.1713,nan,-0.1082,nan
100000,-11.9217,0.0000,-11.9217,nan,-2.2179,nan
125000,-24.1050,0.0000,-24.1050,nan,-3.5868,nan
150000,-64.8923,0.0000,-64.8923,nan,-4.5110,nan
175000,-141.4389,0.0000,-141.4389,nan,-4.1188,nan
200000,-215.1743,0.0000,-215.1743,nan,-3.1355,nan
225000,-222.5435,0.0000,-222.5435,nan,-1.8943,nan
250000,-174.9478,0.0000,-174.9478,nan,-0.8976,nan
