step,frac_low_action,frac_low_rolling,collapsed
2000,0.08461538461538462,0.08461538461538462,0
4000,0.09230769230769231,0.08846153846153847,0
6000,0.15384615384615385,0.11025641025641027,0
8000,0.1,0.1076923076923077,0
10000,0.12307692307692308,0.11076923076923077,0
12000,0.1,0.10897435897435898,0
14000,0.11538461538461539,0.1098901098901099,0
16000,0.14615384615384616,0.11442307692307693,0
18000,0.13076923076923078,0.1201923076923077,0
20000,0.1076923076923077,0.12211538461538461,0
22000,0.13846153846153847,0.1201923076923077,0
24000,0.08461538461538462,0.11826923076923078,0
26000,0.08461538461538462,0.11346153846153847,0
28000,0.11538461538461539,0.11538461538461539,0
30000,0.14615384615384616,0.11923076923076924,0
32000,0.11538461538461539,0.11538461538461539,0
34000,0.08461538461538462,0.10961538461538461,0
36000,0.11538461538461539,0.11057692307692309,0
38000,0.1,0.10576923076923078,0
40000,0.14615384615384616,0.11346153846153847,0
42000,0.1076923076923077,0.11634615384615385,0
44000,0.1,0.11442307692307693,0
46000,0.06923076923076923,0.10480769230769231,0
48000,0.11538461538461539,0.10480769230769232,0
50000,0.13076923076923078,0.11057692307692307,0
52000,0.7,0.18365384615384617,0
54000,0.7153846153846154,0.26057692307692304,0
56000,0.14615384615384616,0.2605769230769231,0
58000,0.3769230769230769,0.2942307692307692,0
60000,0.16923076923076924,0.3028846153846154,0
62000,0.12307692307692308,0.3096153846153846,0
64000,0.023076923076923078,0.2980769230769231,0
66000,0.6153846153846154,0.3586538461538461,0
68000,0.6846153846153846,0.35673076923076924,0
70000,0.11538461538461539,0.28173076923076923,0
72000,0.7153846153846154,0.3528846153846154,0
74000,0.2,0.3307692307692308,0
76000,0.05384615384615385,0.31634615384615383,0
78000,0.0,0.3009615384615385,0
80000,0.2230769230769231,0.32596153846153847,0
82000,0.038461538461538464,0.25384615384615383,0
84000,0.13076923076923078,0.18461538461538463,0
86000,0.07692307692307693,0.17980769230769234,0
88000,0.2153846153846154,0.11730769230769231,0
90000,0.18461538461538463,0.11538461538461539,0
92000,0.7076923076923077,0.19711538461538464,0
94000,0.0,0.19711538461538464,0
96000,0.18461538461538463,0.19230769230769235,0
98000,0.038461538461538464,0.19230769230769232,0
100000,0.03076923076923077,0.1798076923076923,0
102000,0.0,0.1701923076923077,0
104000,0.2076923076923077,0.16923076923076924,0
106000,0.0,0.14615384615384616,0
108000,0.6692307692307692,0.14134615384615384,0
110000,0.023076923076923078,0.14423076923076922,0
112000,0.023076923076923078,0.12403846153846153,0
114000,0.2692307692307692,0.15288461538461537,0
116000,0.06923076923076923,0.1576923076923077,0
118000,0.08461538461538462,0.16826923076923078,0
120000,0.16153846153846155,0.16249999999999998,0
122000,0.4307692307692308,0.21634615384615385,0
124000,0.27692307692307694,0.16730769230769232,0
126000,0.15384615384615385,0.18365384615384614,0
128000,0.19230769230769232,0.2048076923076923,0
130000,0.46923076923076923,0.22980769230769232,0
132000,0.07692307692307693,0.23076923076923078,0
134000,0.038461538461538464,0.22499999999999998,0
136000,0.07692307692307693,0.21442307692307694,0
138000,0.007692307692307693,0.16153846153846155,0
140000,0.0,0.12692307692307692,0
142000,0.03076923076923077,0.11153846153846154,0
144000,0.0,0.08750000000000001,0
146000,0.023076923076923078,0.03173076923076923,0
148000,0.3076923076923077,0.060576923076923084,0
150000,0.7769230769230769,0.1528846153846154,0
152000,0.03076923076923077,0.14711538461538462,0
154000,0.8076923076923077,0.24711538461538465,0
156000,0.0,0.24711538461538463,0
158000,0.007692307692307693,0.24423076923076925,0
160000,0.0,0.24423076923076922,0
162000,0.7769230769230769,0.3384615384615385,0
164000,0.3153846153846154,0.33942307692307694,0
166000,0.23076923076923078,0.2711538461538462,0
168000,0.0,0.26730769230769236,0
170000,0.2923076923076923,0.20288461538461539,0
172000,0.8,0.3028846153846154,0
174000,0.9153846153846154,0.41634615384615387,0
176000,0.8769230769230769,0.5259615384615385,0
178000,0.3923076923076923,0.4778846153846154,0
180000,0.8461538461538461,0.5442307692307693,0
182000,0.6461538461538462,0.5961538461538461,0
184000,0.13076923076923078,0.6125,1
186000,0.0,0.5759615384615384,0
188000,0.7769230769230769,0.573076923076923,0
190000,0.0,0.45865384615384613,0
192000,0.0,0.3490384615384615,0
194000,0.6923076923076923,0.38653846153846155,0
196000,0.13846153846153847,0.2980769230769231,0
198000,0.7307692307692307,0.30865384615384617,0
200000,0.8615384615384616,0.4,0
202000,0.0,0.4,0
204000,0.0,0.3028846153846154,0
206000,0.8615384615384616,0.41057692307692306,0
208000,0.6384615384615384,0.4903846153846154,0
210000,0.8153846153846154,0.5057692307692307,0
212000,0.015384615384615385,0.49038461538461536,0
214000,0.8846153846153846,0.5096153846153846,0
216000,0.17692307692307693,0.42403846153846153,0
218000,0.0,0.4240384615384615,0
220000,0.2153846153846154,0.4509615384615384,0
222000,0.9,0.4557692307692307,0
224000,0.2,0.4009615384615385,0
226000,0.26153846153846155,0.3317307692307693,0
228000,0.36153846153846153,0.375,0
230000,0.5846153846153846,0.3375,0
232000,0.007692307692307693,0.3163461538461539,0
234000,0.023076923076923078,0.31923076923076926,0
236000,0.8769230769230769,0.40192307692307694,0
238000,0.0,0.2894230769230769,0
240000,0.8461538461538461,0.3701923076923077,0
242000,0.0,0.3375,0
244000,0.6307692307692307,0.37115384615384617,0
246000,0.8692307692307693,0.40673076923076923,0
248000,0.07692307692307693,0.41538461538461535,0
250000,0.0,0.4125,0
