step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,45.8164,66.4599,-20.6436,-31.06,-0.2837,-71.4623
50000,70.8883,73.8085,-2.9202,-3.96,-0.1416,-79.3640
75000,77.4936,75.1769,2.3167,3.08,-0.2405,-80.8354
100000,84.2048,61.0770,23.1278,37.87,-0.0104,-65.6742
125000,105.9964,76.8584,29.1380,37.91,-0.4375,-82.6435
150000,107.0369,78.3637,28.6732,36.59,-0.4423,-84.2621
175000,78.2567,81.4600,-3.2033,-3.93,-0.5517,-87.5914
200000,101.0656,81.4778,19.5878,24.04,-1.1108,-87.6105
225000,139.2230,81.1388,58.0842,71.59,-0.3335,-87.2460
250000,119.7612,74.5066,45.2546,60.74,-0.2983,-80.1146
