step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
50000,-1.7125,0.0000,-1.7125,nan,-2.8163,nan
75000,10.6399,0.0000,10.6399,nan,0.0496,nan
100000,11.2937,0.0000,11.2937,nan,0.0544,nan
125000,11.8856,0.0000,11.8856,nan,0.0095,nan
150000,12.3427,0.0000,12.3427,nan,0.0356,nan
175000,11.9615,0.0000,11.9615,nan,0.0319,nan
200000,11.9906,0.0000,11.9906,nan,0.0215,nan
225000,11.8047,0.0000,11.8047,nan,0.0315,nan
250000,11.7069,0.0000,11.7069,nan,0.0345,nan
