step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
50000,-36.9640,0.0000,-36.9640,nan,-3.7693,nan
75000,5.0305,0.0000,5.0305,nan,-0.1444,nan
100000,11.4436,0.0000,11.4436,nan,-0.1271,nan
125000,7.5715,0.0000,7.5715,nan,0.0177,nan
150000,10.0762,0.0000,10.0762,nan,0.0448,nan
175000,11.4893,0.0000,11.4893,nan,0.0155,nan
200000,11.9763,0.0000,11.9763,nan,0.0286,nan
225000,11.6297,0.0000,11.6297,nan,0.0321,nan
250000,11.0408,0.0000,11.0408,nan,0.0276,nan
