day,agent,x1,x2,x3,x4,x5,u,rainfall,et0,budget_remaining
0,0,142.44806405280755,212.73,0.0,60.904300835257864,0.0,2.990019679069519,2.39,2.4374870867812155,480.9687561053496
0,1,142.47722992871928,212.73,0.0,60.904300835257864,0.0,3.020720601081848,2.39,2.4374870867812155,480.9687561053496
0,2,142.4806025919788,212.73,0.0,60.904300835257864,0.0,3.02427077293396,2.39,2.4374870867812155,480.9687561053496
0,3,142.46559191321063,212.73,0.0,60.904300835257864,0.0,3.008470058441162,2.39,2.4374870867812155,480.9687561053496
0,4,142.44912440155673,212.73,0.0,60.904300835257864,0.0,2.991135835647583,2.39,2.4374870867812155,480.9687561053496
0,5,142.47744974468876,212.73,0.0,60.904300835257864,0.0,3.020951986312866,2.39,2.4374870867812155,480.9687561053496
0,6,142.48284763668704,212.73,0.0,60.904300835257864,0.0,3.0266339778900146,2.39,2.4374870867812155,480.9687561053496
0,7,142.4668945011966,212.73,0.0,60.904300835257864,0.0,3.009841203689575,2.39,2.4374870867812155,480.9687561053496
0,8,142.46569825385737,212.73,0.0,60.904300835257864,0.0,3.0085819959640503,2.39,2.4374870867812155,480.9687561053496
0,9,142.46730525468516,212.73,0.0,60.904300835257864,0.0,3.010273575782776,2.39,2.4374870867812155,480.9687561053496
0,10,142.44724254583048,212.73,0.0,60.904300835257864,0.0,2.9891549348831177,2.39,2.4374870867812155,480.9687561053496
0,11,142.4217778680198,212.73,0.0,60.904300835257864,0.0,2.962350010871887,2.39,2.4374870867812155,480.9687561053496
0,12,142.39141268705058,212.73,0.0,60.904300835257864,0.0,2.9303866624832153,2.39,2.4374870867812155,480.9687561053496
0,13,142.46667502497363,212.73,0.0,60.904300835257864,0.0,3.009610176086426,2.39,2.4374870867812155,480.9687561053496
0,14,142.50129519079852,212.73,0.0,60.904300835257864,0.0,3.0460524559020996,2.39,2.4374870867812155,480.9687561053496
0,15,142.50197298501658,212.73,0.0,60.904300835257864,0.0,3.046765923500061,2.39,2.4374870867812155,480.9687561053496
0,16,142.48157766436267,212.73,0.0,60.904300835257864,0.0,3.025297164916992,2.39,2.4374870867812155,480.9687561053496
0,17,142.51106188272166,212.73,0.0,60.904300835257864,0.0,3.0563331842422485,2.39,2.4374870867812155,480.9687561053496
0,18,142.51351655100513,212.73,0.0,60.904300835257864,0.0,3.0589170455932617,2.39,2.4374870867812155,480.9687561053496
0,19,142.51298586701083,212.73,0.0,60.904300835257864,0.0,3.0583584308624268,2.39,2.4374870867812155,480.9687561053496
0,20,142.5166510519855,212.73,0.0,60.904300835257864,0.0,3.0622165203094482,2.39,2.4374870867812155,480.9687561053496
0,21,142.51638604973482,212.73,0.0,60.904300835257864,0.0,3.0619375705718994,2.39,2.4374870867812155,480.9687561053496
0,22,142.51801207636524,212.73,0.0,60.904300835257864,0.0,3.0636491775512695,2.39,2.4374870867812155,480.9687561053496
0,23,142.5139310417049,212.73,0.0,60.904300835257864,0.0,3.0593533515930176,2.39,2.4374870867812155,480.9687561053496
0,24,142.48968469475435,212.73,0.0,60.904300835257864,0.0,3.0338308811187744,2.39,2.4374870867812155,480.9687561053496
0,25,142.43663396214174,212.73,0.0,60.904300835257864,0.0,2.9779880046844482,2.39,2.4374870867812155,480.9687561053496
0,26,142.43796950553585,212.73,0.0,60.904300835257864,0.0,2.9793938398361206,2.39,2.4374870867812155,480.9687561053496
0,27,142.4887449560039,212.73,0.0,60.904300835257864,0.0,3.032841682434082,2.39,2.4374870867812155,480.9687561053496
0,28,142.51310036157298,212.73,0.0,60.904300835257864,0.0,3.0584789514541626,2.39,2.4374870867812155,480.9687561053496
0,29,142.51147603367494,212.73,0.0,60.904300835257864,0.0,3.0567691326141357,2.39,2.4374870867812155,480.9687561053496
0,30,142.51215620611833,212.73,0.0,60.904300835257864,0.0,3.0574851036071777,2.39,2.4374870867812155,480.9687561053496
0,31,142.48551464651752,212.73,0.0,60.904300835257864,0.0,3.0294413566589355,2.39,2.4374870867812155,480.9687561053496
0,32,142.4894210514896,212.73,0.0,60.904300835257864,0.0,3.0335533618927,2.39,2.4374870867812155,480.9687561053496
0,33,142.4917133209579,212.73,0.0,60.904300835257864,0.0,3.0359662771224976,2.39,2.4374870867812155,480.9687561053496
0,34,142.51257137631106,212.73,0.0,60.904300835257864,0.0,3.057922124862671,2.39,2.4374870867812155,480.9687561053496
0,35,142.51351655100513,212.73,0.0,60.904300835257864,0.0,3.0589170455932617,2.39,2.4374870867812155,480.9687561053496
0,36,142.51079722021746,212.73,0.0,60.904300835257864,0.0,3.0560545921325684,2.39,2.4374870867812155,480.9687561053496
0,37,142.5067219612472,212.73,0.0,60.904300835257864,0.0,3.0517648458480835,2.39,2.4374870867812155,480.9687561053496
