step,sigma
1000,0.1985
2000,0.197
3000,0.1955
4000,0.194
5000,0.1925
6000,0.191
7000,0.1895
8000,0.188
9000,0.1865
10000,0.185
11000,0.1835
12000,0.182
13000,0.1805
14000,0.179
15000,0.17750000000000002
16000,0.17600000000000002
17000,0.17450000000000002
18000,0.17300000000000001
19000,0.1715
20000,0.17
21000,0.1685
22000,0.167
23000,0.1655
24000,0.164
25000,0.1625
26000,0.161
27000,0.1595
28000,0.158
29000,0.1565
30000,0.155
31000,0.1535
32000,0.152
33000,0.1505
34000,0.149
35000,0.14750000000000002
36000,0.14600000000000002
37000,0.14450000000000002
38000,0.14300000000000002
39000,0.14150000000000001
40000,0.14
41000,0.1385
42000,0.137
43000,0.1355
44000,0.134
45000,0.1325
46000,0.131
47000,0.1295
48000,0.128
49000,0.1265
50000,0.125
51000,0.1235
52000,0.122
53000,0.1205
54000,0.119
55000,0.1175
56000,0.11599999999999999
57000,0.1145
58000,0.113
59000,0.1115
60000,0.11
61000,0.1085
62000,0.107
63000,0.1055
64000,0.104
65000,0.1025
66000,0.10099999999999999
67000,0.09949999999999999
68000,0.09799999999999999
69000,0.0965
70000,0.095
71000,0.0935
72000,0.092
73000,0.0905
74000,0.089
75000,0.0875
76000,0.086
77000,0.08449999999999999
78000,0.08299999999999999
79000,0.08149999999999999
80000,0.07999999999999999
81000,0.07849999999999999
82000,0.077
83000,0.0755
84000,0.07400000000000001
85000,0.07250000000000001
86000,0.07100000000000001
87000,0.0695
88000,0.06799999999999998
89000,0.06649999999999998
90000,0.06499999999999997
91000,0.06349999999999997
92000,0.06199999999999997
93000,0.06049999999999997
94000,0.059
95000,0.057499999999999996
96000,0.055999999999999994
97000,0.05449999999999999
98000,0.05299999999999999
99000,0.05149999999999999
100000,0.04999999999999999
101000,0.04999999999999999
102000,0.04999999999999999
103000,0.04999999999999999
104000,0.04999999999999999
105000,0.04999999999999999
106000,0.04999999999999999
107000,0.04999999999999999
108000,0.04999999999999999
109000,0.04999999999999999
110000,0.04999999999999999
111000,0.04999999999999999
112000,0.04999999999999999
113000,0.04999999999999999
114000,0.04999999999999999
115000,0.04999999999999999
116000,0.04999999999999999
117000,0.04999999999999999
118000,0.04999999999999999
119000,0.04999999999999999
120000,0.04999999999999999
121000,0.04999999999999999
122000,0.04999999999999999
123000,0.04999999999999999
124000,0.04999999999999999
125000,0.04999999999999999
126000,0.04999999999999999
127000,0.04999999999999999
128000,0.04999999999999999
129000,0.04999999999999999
130000,0.04999999999999999
131000,0.04999999999999999
132000,0.04999999999999999
133000,0.04999999999999999
134000,0.04999999999999999
135000,0.04999999999999999
136000,0.04999999999999999
137000,0.04999999999999999
138000,0.04999999999999999
139000,0.04999999999999999
140000,0.04999999999999999
141000,0.04999999999999999
142000,0.04999999999999999
143000,0.04999999999999999
144000,0.04999999999999999
145000,0.04999999999999999
146000,0.04999999999999999
147000,0.04999999999999999
148000,0.04999999999999999
149000,0.04999999999999999
150000,0.04999999999999999
151000,0.04999999999999999
152000,0.04999999999999999
153000,0.04999999999999999
154000,0.04999999999999999
155000,0.04999999999999999
156000,0.04999999999999999
157000,0.04999999999999999
158000,0.04999999999999999
159000,0.04999999999999999
160000,0.04999999999999999
161000,0.04999999999999999
162000,0.04999999999999999
163000,0.04999999999999999
164000,0.04999999999999999
165000,0.04999999999999999
166000,0.04999999999999999
167000,0.04999999999999999
168000,0.04999999999999999
169000,0.04999999999999999
170000,0.04999999999999999
171000,0.04999999999999999
172000,0.04999999999999999
173000,0.04999999999999999
174000,0.04999999999999999
175000,0.04999999999999999
176000,0.04999999999999999
177000,0.04999999999999999
178000,0.04999999999999999
179000,0.04999999999999999
180000,0.04999999999999999
181000,0.04999999999999999
182000,0.04999999999999999
183000,0.04999999999999999
184000,0.04999999999999999
185000,0.04999999999999999
186000,0.04999999999999999
187000,0.04999999999999999
188000,0.04999999999999999
189000,0.04999999999999999
190000,0.04999999999999999
191000,0.04999999999999999
192000,0.04999999999999999
193000,0.04999999999999999
194000,0.04999999999999999
195000,0.04999999999999999
196000,0.04999999999999999
197000,0.04999999999999999
198000,0.04999999999999999
199000,0.04999999999999999
200000,0.04999999999999999
201000,0.04999999999999999
202000,0.04999999999999999
203000,0.04999999999999999
204000,0.04999999999999999
205000,0.04999999999999999
206000,0.04999999999999999
207000,0.04999999999999999
208000,0.04999999999999999
209000,0.04999999999999999
210000,0.04999999999999999
211000,0.04999999999999999
212000,0.04999999999999999
213000,0.04999999999999999
214000,0.04999999999999999
215000,0.04999999999999999
216000,0.04999999999999999
217000,0.04999999999999999
218000,0.04999999999999999
219000,0.04999999999999999
220000,0.04999999999999999
221000,0.04999999999999999
222000,0.04999999999999999
223000,0.04999999999999999
224000,0.04999999999999999
225000,0.04999999999999999
226000,0.04999999999999999
227000,0.04999999999999999
228000,0.04999999999999999
229000,0.04999999999999999
230000,0.04999999999999999
231000,0.04999999999999999
232000,0.04999999999999999
233000,0.04999999999999999
234000,0.04999999999999999
235000,0.04999999999999999
236000,0.04999999999999999
237000,0.04999999999999999
238000,0.04999999999999999
239000,0.04999999999999999
240000,0.04999999999999999
241000,0.04999999999999999
242000,0.04999999999999999
243000,0.04999999999999999
244000,0.04999999999999999
245000,0.04999999999999999
246000,0.04999999999999999
247000,0.04999999999999999
248000,0.04999999999999999
249000,0.04999999999999999
250000,0.04999999999999999
