model,alpha,n_runs,yield_mean,yield_std,pct_mpc_mean,pct_mpc_std,mean_abs_du,mean_abs_du_std,drought_days,waterlog_days,water_used_mm,pareto_optimal
a3_0p50,1.0,9,3833.9270732872956,190.86176863701706,100.61363600745267,0.9651675337541558,2.0439696549159656,0.20458628877709784,21.87863247863248,5.7786324786324785,367.33632406169534,False
a3_0p50,0.7,9,3835.5679722847613,189.88448161344138,100.65769656543401,0.946612044071315,1.297893462558777,0.11643770910008194,21.626495726495726,5.766666666666667,366.83526394997483,False
a3_0p50,0.5,9,3835.9563720677593,189.35104538599947,100.66846089016576,0.9413075915441286,0.9237301149798527,0.07056507284748059,21.68034188034188,5.9282051282051285,366.85389587516255,True
a3_0p50,0.3,9,3831.877459794346,189.048194162119,100.56202692713599,0.9896610318424527,0.5941666563498678,0.03906288901227567,23.391452991452994,6.903418803418804,367.5513186465823,True
a3_0p50,0.2,9,3822.0689693462805,190.2935609870137,100.30440308624287,1.1558779695984003,0.44147640043134184,0.022825776327636823,26.346153846153847,8.942735042735043,368.142116368751,True
a3_0p50,0.1,9,3772.6199064225348,227.93009645020527,98.98625761553176,2.8021608639903945,0.2955637814538423,0.02218723379576914,33.700854700854705,12.803418803418802,368.0476395793732,True
a3_1p00,1.0,9,3745.6731254770098,215.5994061460995,98.28243484448461,2.379713684797497,1.9303138305562706,0.34538745539905846,25.733333333333334,16.601709401709403,372.60458803238015,False
a3_1p00,0.7,9,3748.887635559809,214.52303558165647,98.3682881323628,2.381513572403585,1.2886343572587484,0.19883099151821934,25.353846153846156,16.446153846153848,373.1511318610185,False
a3_1p00,0.5,9,3751.1411706042904,213.2702157870615,98.42904121014361,2.381623835240632,0.9339810319299305,0.1289281610059175,25.065811965811964,16.504273504273506,373.766535699304,False
a3_1p00,0.3,9,3751.739740926948,209.84101475298547,98.4484405865997,2.35680638741423,0.604791275365288,0.0638750603362009,25.324786324786327,17.153846153846153,374.73907886384023,True
a3_1p00,0.2,9,3748.043782086435,205.7878733863982,98.35484452117342,2.281743512620252,0.43896737106399936,0.044467702116855384,26.307692307692307,18.262393162393163,375.6260387682248,True
a3_1p00,0.1,9,3725.469806180077,212.42652674632652,97.75410062878741,2.2761122555705615,0.27728090790855664,0.029380641236275852,31.58888888888889,20.095726495726495,374.12391833435544,True
a3_1p15,1.0,9,3827.9426188674956,195.27997345356985,100.45060357577027,0.8653638528909422,2.242373097593695,0.14563307799225383,19.44017094017094,14.94102564102564,375.2035690422751,False
a3_1p15,0.7,9,3828.384131175528,194.823453798626,100.46249250726325,0.8298690250886404,1.4713813224267014,0.09825205660205795,18.737606837606837,15.063247863247861,376.0237871826796,True
a3_1p15,0.5,9,3827.4180612179134,194.06134293274673,100.43785596383087,0.8104205782212216,1.0570572665274365,0.08706313081922712,18.395726495726496,15.213675213675215,377.07770191980063,True
a3_1p15,0.3,9,3823.9773893762936,194.03158150510328,100.34776779250507,0.8441571281326434,0.684420946161301,0.04747357402343117,18.811111111111114,15.51025641025641,378.3718883541781,True
a3_1p15,0.2,9,3814.0929706235347,196.60289255584482,100.08693520763052,1.062035681155711,0.49741758759170523,0.0406093750497616,20.333333333333332,16.092307692307692,378.0827236155261,True
a3_1p15,0.1,9,3775.4212869161047,213.8968031603947,99.06723232551106,2.2874718527102487,0.2970517009188106,0.03625227190346656,24.515384615384615,18.423931623931626,376.3951406291492,True
a3_1p50,1.0,9,3802.5532245049885,197.69049692993812,99.78350105023087,1.2332577167023893,2.721994217468998,0.3032722685141399,23.647008547008546,13.317948717948717,377.67861743401255,True
a3_1p50,0.7,9,3802.4596157321193,197.3025592648033,99.78157492082816,1.2414503266651657,1.6529547050884155,0.14168948223633604,23.527350427350427,13.635897435897435,377.8902556374708,True
a3_1p50,0.5,9,3801.3451097638367,197.33678496616852,99.75232848531772,1.2512857914203226,1.1556386878962914,0.09429845825198963,23.452991452991455,13.836752136752137,378.4241279623422,True
a3_1p50,0.3,9,3796.369343129327,196.39005184086426,99.62236673659102,1.226170427767893,0.7329080024055941,0.07180436349538676,23.301709401709402,14.401709401709402,378.9439637989031,True
a3_1p50,0.2,9,3785.7860056662485,195.6058526289034,99.34487842306925,1.206130976086875,0.5446782675639045,0.03995352208658056,22.97179487179487,15.982905982905983,378.963362145409,True
a3_1p50,0.1,9,3756.3631393496107,210.2933084989716,98.55895506072012,1.6159562626250954,0.36164930691756636,0.03276013239778654,27.10940170940171,19.94017094017094,379.0866551534242,True
