model,alpha,scenario,budget_pct,seed,yield_kg_ha,pct_mpc,mean_abs_du,water_used_mm,drought_days,waterlog_days,spatial_equity_cv
a3_0p50,0.1,dry,70,0,3807.474106181714,101.09385880454853,0.3147792481313875,338.8000000000002,54.33076923076923,3.046153846153846,0.008919589173739528
a3_0p50,0.1,dry,85,0,4104.03144081555,100.85810075081964,0.30220261862009384,411.4,33.76923076923077,1.4384615384615385,0.006594839255455592
a3_0p50,0.1,dry,100,0,4174.600179422302,100.71113906096166,0.24959149150071264,465.8909336436087,25.46153846153846,0.49230769230769234,0.006715735076765765
a3_0p50,0.1,moderate,70,0,3613.2678388301156,100.04233992613759,0.3041453698915499,338.80000000000007,50.37692307692308,1.3923076923076922,0.012419640389927067
a3_0p50,0.1,moderate,85,0,3749.8752826175414,100.66576697800323,0.2912107761639372,411.4,19.6,9.207692307692307,0.0064463280277724955
a3_0p50,0.1,moderate,100,0,3777.716970956578,101.59430855203497,0.2696930657856078,435.82012033964355,11.684615384615384,14.53076923076923,0.008461952689063955
a3_0p50,0.1,wet,70,0,3557.1781168178586,94.76353877070389,0.31575719132603913,301.17351229234805,37.88461538461539,26.823076923076922,0.006543445055414185
a3_0p50,0.1,wet,85,0,3582.0360658773193,95.70494790131762,0.308492535100396,304.53220202788884,35.46153846153846,28.384615384615383,0.00695181201756981
a3_0p50,0.1,wet,100,0,3587.3991562838364,95.44231779525863,0.30420173656485655,304.6119879108691,34.738461538461536,29.915384615384614,0.007478484822774155
a3_0p50,0.2,dry,70,0,3773.461046861089,100.19076364997156,0.4211365964114784,338.8,53.207692307692305,2.8384615384615386,0.011749472334266039
a3_0p50,0.2,dry,85,0,4097.226319412399,100.69086235852208,0.446041432235717,411.39999999999986,29.53846153846154,1.2923076923076924,0.007441209819872481
a3_0p50,0.2,dry,100,0,4183.341044341853,100.92201014432078,0.4173382981009411,473.1840801336599,20.846153846153847,0.12307692307692308,0.0064670118617244235
a3_0p50,0.2,moderate,70,0,3606.9343635218747,99.86698185196119,0.43324773214580514,338.7999999999999,44.36923076923077,2.3846153846153846,0.018282879773800786
a3_0p50,0.2,moderate,85,0,3770.0509590379197,101.20738497542625,0.4427166684509018,411.39999999999986,12.7,7.6692307692307695,0.00722016677817926
a3_0p50,0.2,moderate,100,0,3810.620182846269,102.47917607566734,0.4159259445041554,416.04614268725965,7.976923076923077,7.5,0.008389420436524152
a3_0p50,0.2,wet,70,0,3710.830105243437,98.85684129427516,0.4824457004953268,306.7942947277055,23.323076923076922,18.407692307692308,0.005929181807288662
a3_0p50,0.2,wet,85,0,3725.2101040131924,99.53027618071309,0.46850484482833127,308.41311738481704,23.3,19.684615384615384,0.00546190239665776
a3_0p50,0.2,wet,100,0,3720.9465988384914,98.99533124532842,0.44593038670942,308.4414123853172,21.853846153846153,20.584615384615386,0.005082364979219671
a3_0p50,0.3,dry,70,0,3768.0075467839406,100.04596545793797,0.572477286708848,338.8000000000002,51.2,2.3,0.012930587088323354
a3_0p50,0.3,dry,85,0,4101.665974519509,100.79996853583805,0.5569651776441905,411.4,25.23846153846154,0.6153846153846154,0.008177987198738832
a3_0p50,0.3,dry,100,0,4192.535043085692,101.14381296284728,0.5294278673851313,480.3311494431502,15.823076923076924,0.19230769230769232,0.007182524016049973
a3_0p50,0.3,moderate,70,0,3603.0539493732836,99.75954289957141,0.5892985207681571,338.8,41.38461538461539,2.9384615384615387,0.02031801082355962
a3_0p50,0.3,moderate,85,0,3774.9560428533177,101.33906242791576,0.6439824197556637,411.39999999999986,9.46923076923077,6.576923076923077,0.007438870640790541
a3_0p50,0.3,moderate,100,0,3813.0957614635436,102.54575192023744,0.5879278270928223,411.214916021275,6.7,6.123076923076923,0.007857920399834375
a3_0p50,0.3,wet,70,0,3735.6742572683656,99.5186916954425,0.644957592425994,303.98145254848026,20.076923076923077,12.9,0.0047149229963093404
a3_0p50,0.3,wet,85,0,3751.608980094552,100.23560214995372,0.6263214797865733,306.2947949452669,21.184615384615384,14.561538461538461,0.004553253296888303
a3_0p50,0.3,wet,100,0,3746.2995827069126,99.66984429447974,0.5961417355814289,305.7395548610681,19.446153846153845,15.923076923076923,0.004405424519105495
a3_0p50,0.5,dry,70,0,3763.392470023433,99.92342859875319,0.9596724138436364,338.8,48.62307692307692,2.0384615384615383,0.013952862666161836
a3_0p50,0.5,dry,85,0,4103.31871532159,100.84058525642978,0.8481247429583881,411.4000000000001,20.76153846153846,0.36923076923076925,0.008748744468236534
a3_0p50,0.5,dry,100,0,4197.907470594389,101.27342137339409,0.8231655020231979,484.0000000000002,12.0,0.43846153846153846,0.007591565199578317
a3_0p50,0.5,moderate,70,0,3599.321245462882,99.6561936738553,0.9340174642484868,338.8000000000001,36.84615384615385,3.330769230769231,0.022252919112977994
a3_0p50,0.5,moderate,85,0,3775.1134172959996,101.34328716014852,1.051122096945914,409.66617442649476,8.53076923076923,5.723076923076923,0.007441575591211838
a3_0p50,0.5,moderate,100,0,3812.5295126309356,102.53052376549226,0.9168175641602709,410.2240992236567,7.115384615384615,5.769230769230769,0.007451114465657156
a3_0p50,0.5,wet,70,0,3743.5941124611077,99.7296773362985,0.9888631954973464,300.71801861242415,18.246153846153845,10.8,0.004300182351969411
a3_0p50,0.5,wet,85,0,3765.347243988317,100.60266150000673,0.9123231154528327,304.5828569955776,21.446153846153845,11.615384615384615,0.004216213979629536
a3_0p50,0.5,wet,100,0,3763.083160831181,100.1163693471135,0.8794649396885997,303.49391361830897,21.553846153846155,13.26923076923077,0.004048624999643339
a3_0p50,0.7,dry,70,0,3760.790618050536,99.85434572421667,1.345676464447459,338.8,47.41538461538462,1.9,0.014668894524231145
a3_0p50,0.7,dry,85,0,4103.590089617021,100.84725438078331,1.2259185629756237,411.4,19.861538461538462,0.4461538461538462,0.0090041843114502
a3_0p50,0.7,dry,100,0,4198.500598678953,101.28773043352872,1.1593073967873972,483.9999999999999,11.792307692307693,0.4230769230769231,0.0076109501131902246
a3_0p50,0.7,moderate,70,0,3597.8414100658006,99.61522073677087,1.321548118506361,338.8,35.13076923076923,3.4692307692307693,0.023298871186398513
a3_0p50,0.7,moderate,85,0,3775.1302416525464,101.3437388116377,1.5132385335627274,409.28200633867607,8.53076923076923,5.546153846153846,0.007453471001969121
a3_0p50,0.7,moderate,100,0,3811.515190887317,102.50324556625593,1.292308785453432,410.1909872834814,7.4,5.446153846153846,0.007203949493979414
a3_0p50,0.7,wet,70,0,3743.199854542502,99.7191742705738,1.4175447875880705,301.0861919723298,17.715384615384615,10.146153846153846,0.004215219127478516
a3_0p50,0.7,wet,85,0,3764.5340283429505,100.58093397980845,1.2374386747402732,304.5406581722254,22.784615384615385,10.938461538461539,0.003917862946446813
a3_0p50,0.7,wet,100,0,3765.009718725226,100.16762518533055,1.1680598389676498,303.4175317830609,24.00769230769231,13.584615384615384,0.004008510262658849
a3_0p50,1.0,dry,70,0,3758.55546446316,99.79499921394053,2.160863039015767,338.80000000000007,46.16923076923077,1.7846153846153847,0.015092102329168675
a3_0p50,1.0,dry,85,0,4103.2753691726875,100.839520008681,1.9956600044501656,411.4000000000001,19.2,0.6384615384615384,0.00929553126936785
a3_0p50,1.0,dry,100,0,4199.06458631757,101.30133648801542,1.7621757734180692,484.0,11.5,0.4153846153846154,0.007545774363816858
a3_0p50,1.0,moderate,70,0,3596.0561173548735,99.5657904514389,2.1477156879583994,338.8,35.05384615384615,3.6076923076923078,0.023770928614731904
a3_0p50,1.0,moderate,85,0,3774.0814279162914,101.3155833047955,2.3524844410028747,409.41879959656643,9.692307692307692,5.6,0.007433116982231097
a3_0p50,1.0,moderate,100,0,3810.2894707370156,102.4702822203765,2.0032623013425432,410.6914046865243,7.684615384615385,5.6,0.0069471977423859604
a3_0p50,1.0,wet,70,0,3740.4296394983044,99.64537549746686,2.266840445277683,303.1650253497637,18.06153846153846,9.815384615384616,0.0041562139194321465
