pool,alpha,n_runs,yield_mean,pct_mpc_mean,mean_abs_du,drought_days,waterlog_days,water_used_mm
A,1.0,27,3805.3787012998455,99.87201980877961,2.544994988253683,33.70598290598291,7.2339031339031346,362.0908945153242
A,0.7,27,3808.3623734098624,99.95106258731431,1.6252944672237861,33.548148148148144,7.006552706552707,362.2641789474
A,0.5,27,3810.4757509910874,100.00688152933436,1.1493571789279502,33.26837606837607,6.911396011396011,362.3282111294681
A,0.3,27,3811.3581781007697,100.02915691886146,0.7218068159655199,33.2022792022792,7.476353276353276,362.7703287176789
A,0.2,27,3805.8220878157445,99.88109932645882,0.5220829621548558,33.93105413105413,8.942450142450141,363.68791452187935
A,0.1,27,3764.603927172605,98.78690548119566,0.31864243168111367,38.938746438746435,12.67891737891738,362.7026574112408
B,1.0,27,3800.247385272419,99.7297159325391,2.4962668217464508,35.24387464387465,6.534188034188033,358.0446616745063
B,0.7,27,3803.8569641866775,99.82521777958495,1.6322895643540472,34.93475783475783,6.264102564102564,358.0350351088254
B,0.5,27,3807.3258863939154,99.91684896470035,1.1458414110160884,35.01965811965812,6.074358974358974,358.26117021201765
B,0.3,27,3809.7085333208447,99.98080411883082,0.7162797424144072,35.32136752136752,6.226495726495727,359.2208323687624
B,0.2,27,3805.318444980111,99.86546544182818,0.5200946923036264,36.25156695156695,7.336182336182337,360.52908058399186
B,0.1,27,3767.8125767691095,98.87389098787274,0.321239837224347,39.038746438746436,11.163532763532762,362.1315110323899
