pool,alpha,scenario,budget_pct,seed,yield_kg_ha,pct_mpc,mean_abs_du,water_used_mm,drought_days,waterlog_days,spatial_equity_cv
A,0.1,dry,70,0,3686.189351363894,97.87357587240984,0.3216738423892802,338.8,67.66153846153846,12.1,0.019989502748898196
A,0.1,dry,70,1,3763.102472494857,99.91572875145549,0.32893066520368675,338.7999999999999,63.823076923076925,0.7538461538461538,0.02436161775954065
A,0.1,dry,70,2,3791.8912663292276,100.68011221878358,0.3378302423462885,338.8,46.738461538461536,4.8076923076923075,0.007791676803630045
A,0.1,dry,85,0,4010.263497934501,98.55371864101431,0.30842763034587084,411.40000000000003,56.1,10.615384615384615,0.018772816238068684
A,0.1,dry,85,1,4071.275335915512,100.05310727651138,0.3540998772657557,411.39999999999986,47.8,1.2615384615384615,0.007835914708427785
A,0.1,dry,85,2,4100.239018727186,100.76490056592976,0.3976672673060004,411.3999999999998,30.56153846153846,4.392307692307693,0.006821213480540354
A,0.1,dry,100,0,4164.096339273615,100.45773666063047,0.258657737021949,473.0764062041886,30.9,11.923076923076923,0.011032541604890861
A,0.1,dry,100,1,4155.966672420713,100.26161057100451,0.29195559336173593,457.48007501747264,37.47692307692308,3.0307692307692307,0.006682193673241476
A,0.1,dry,100,2,4122.042427653562,99.4431970258886,0.3588922462376154,467.39572761336916,33.49230769230769,6.638461538461539,0.00921875843144432
A,0.1,moderate,70,0,3502.8526588071154,96.9852200375541,0.2923203823952559,338.7999999999999,62.99230769230769,2.1615384615384614,0.0282638915984944
A,0.1,moderate,70,1,3616.608098014336,100.13482333994878,0.276629360234412,338.7999999999999,53.65384615384615,0.33076923076923076,0.017529983866880868
A,0.1,moderate,70,2,3623.9373673886803,100.33775245864811,0.34615405368434937,338.8000000000001,48.15384615384615,0.6,0.008265546548238698
A,0.1,moderate,85,0,3678.114126729313,98.73933176289015,0.2739615637216908,390.5281554027517,36.94615384615385,5.915384615384616,0.02304494861294156
A,0.1,moderate,85,1,3760.544310927634,100.9521780815202,0.3100778913365434,411.3999999999999,31.76153846153846,9.015384615384615,0.006193324181156246
