pool,alpha,n_runs,yield_mean,yield_std,pct_mpc_mean,pct_mpc_std,mean_abs_du,mean_abs_du_std,drought_days,waterlog_days,water_used_mm,pareto_optimal
A,1.0,27,3805.3787012998455,180.98276328983908,99.87201980877961,1.5033883715653993,2.544994988253683,0.4594778580801068,33.70598290598291,7.2339031339031346,362.0908945153242,False
A,0.7,27,3808.3623734098624,179.86959486868943,99.95106258731431,1.451458543674597,1.6252944672237861,0.3050361508996708,33.548148148148144,7.006552706552707,362.2641789474,False
A,0.5,27,3810.4757509910874,179.20448192723444,100.00688152933436,1.4115955993608413,1.1493571789279502,0.20792914172987562,33.26837606837607,6.911396011396011,362.3282111294681,False
A,0.3,27,3811.3581781007697,179.5472127685408,100.02915691886146,1.3663731799531746,0.7218068159655199,0.12068105523894702,33.2022792022792,7.476353276353276,362.7703287176789,True
A,0.2,27,3805.8220878157445,181.95081758269131,99.88109932645882,1.3801742825325816,0.5220829621548558,0.07038546330973186,33.93105413105413,8.942450142450141,363.68791452187935,True
A,0.1,27,3764.603927172605,200.4235031834096,98.78690548119566,2.1051287061096353,0.31864243168111367,0.03566675750189377,38.938746438746435,12.67891737891738,362.7026574112408,True
B,1.0,27,3800.247385272419,182.813036652183,99.7297159325391,1.0343905444526769,2.4962668217464508,0.5126480080841171,35.24387464387465,6.534188034188033,358.0446616745063,False
B,0.7,27,3803.8569641866775,182.1189515420812,99.82521777958495,1.0112946438914632,1.6322895643540472,0.3086877959025261,34.93475783475783,6.264102564102564,358.0350351088254,False
B,0.5,27,3807.3258863939154,181.55431933620122,99.91684896470035,0.9846070983521085,1.1458414110160884,0.2045271700512984,35.01965811965812,6.074358974358974,358.26117021201765,False
B,0.3,27,3809.7085333208447,180.4008085756154,99.98080411883082,0.9753338920893795,0.7162797424144072,0.10266485908584431,35.32136752136752,6.226495726495727,359.2208323687624,True
B,0.2,27,3805.318444980111,181.44993735020753,99.86546544182818,1.1003484118669637,0.5200946923036264,0.06089098930245402,36.25156695156695,7.336182336182337,360.52908058399186,True
B,0.1,27,3767.8125767691095,199.5805152758041,98.87389098787274,2.1748860060746122,0.321239837224347,0.037030035831579454,39.038746438746436,11.163532763532762,362.1315110323899,True
mixed,1.0,27,3811.6863518810824,180.03128421758677,100.03517941257867,1.174326809265381,2.464165068454752,0.4928826272529407,33.033618233618235,7.590883190883191,359.97417220770467,False
mixed,0.7,27,3814.447552671425,179.550081793151,100.10794556205396,1.1396159614699184,1.611362483430788,0.3033112721665593,32.81908831908832,7.3723646723646725,359.9127151088053,False
mixed,0.5,27,3816.3347339562524,179.17898158700024,100.1577208244408,1.1138308959000773,1.1374924912930486,0.2110306149612672,32.72991452991453,7.242735042735043,359.95563018409604,True
mixed,0.3,27,3816.162014105548,180.005246370351,100.1524197446413,1.1268632161856016,0.7182794778626848,0.11947577308069549,33.15726495726496,7.557834757834757,360.3563736713836,True
mixed,0.2,27,3808.4080585029037,184.13886798920092,99.94572171573827,1.2905202216466545,0.5244733349626762,0.06775685852902248,34.454985754985756,8.722792022792023,360.75593474537123,True
mixed,0.1,27,3763.5957342039296,205.54413401111728,98.7598320609108,2.389177714994883,0.32514788188911276,0.033205128790752624,37.57834757834758,12.041025641025643,360.8221575711131,True
