step,frac_low_action,frac_low_action_wet,min_action
1000,0.1,nan,0.0
2000,0.08461538461538462,nan,0.0
3000,0.1,nan,0.0
4000,0.09230769230769231,nan,0.0
5000,0.13846153846153847,nan,0.0
6000,0.15384615384615385,nan,0.0
7000,0.15384615384615385,nan,0.0
8000,0.1,nan,0.0
9000,0.11538461538461539,nan,0.0
10000,0.12307692307692308,nan,0.0
11000,0.18461538461538463,nan,0.0
12000,0.1,nan,0.0
13000,0.1,nan,0.0
14000,0.11538461538461539,nan,0.0
15000,0.06923076923076923,nan,0.0
16000,0.14615384615384616,nan,0.0
17000,0.1,nan,0.0
18000,0.13076923076923078,nan,0.0
19000,0.1,nan,0.0
20000,0.1076923076923077,nan,0.0
21000,0.09230769230769231,nan,0.0
22000,0.13846153846153847,nan,0.0
23000,0.12307692307692308,nan,0.0
24000,0.08461538461538462,nan,0.0
25000,0.07692307692307693,nan,0.0
26000,0.08461538461538462,nan,0.0
27000,0.17692307692307693,nan,0.0
28000,0.11538461538461539,nan,0.0
29000,0.12307692307692308,nan,0.0
30000,0.14615384615384616,nan,0.0
31000,0.11538461538461539,nan,0.0
32000,0.11538461538461539,nan,0.0
33000,0.1076923076923077,nan,0.0
34000,0.08461538461538462,nan,0.0
35000,0.1,nan,0.0
36000,0.11538461538461539,nan,0.0
37000,0.13846153846153847,nan,0.0
38000,0.1,nan,0.0
39000,0.09230769230769231,nan,0.0
40000,0.14615384615384616,nan,0.0
41000,0.06153846153846154,nan,0.0
42000,0.1076923076923077,nan,0.0
43000,0.09230769230769231,nan,0.0
44000,0.1,nan,0.0
45000,0.16153846153846155,nan,0.0
46000,0.06923076923076923,nan,0.0
47000,0.07692307692307693,nan,0.0
48000,0.11538461538461539,nan,0.0
49000,0.11538461538461539,nan,0.0
50000,0.13076923076923078,nan,0.0
51000,0.36153846153846153,nan,0.0
52000,0.6923076923076923,nan,0.0
53000,0.676923076923077,nan,0.0
54000,0.7,nan,0.0
55000,0.007692307692307693,nan,0.06752350926399231
56000,0.3384615384615385,nan,0.0
57000,0.5076923076923077,nan,0.0
58000,0.015384615384615385,nan,0.0
59000,0.0,nan,0.1304909586906433
60000,0.015384615384615385,nan,0.0
61000,0.4461538461538462,nan,0.0
62000,0.16153846153846155,nan,0.0
63000,0.5,nan,0.0
64000,0.007692307692307693,nan,0.047862708568573
65000,0.5461538461538461,nan,0.0
66000,0.7076923076923077,nan,0.0
67000,0.0,nan,0.10974583029747009
68000,0.0,nan,0.08362317085266113
69000,0.5538461538461539,nan,0.0
70000,0.0,nan,0.23046135902404785
71000,0.0,nan,0.1705256700515747
72000,0.023076923076923078,nan,0.0
73000,0.0,nan,0.12769776582717896
74000,0.06153846153846154,nan,0.0
75000,0.0,nan,0.10405850410461426
76000,0.038461538461538464,nan,0.0
77000,0.23846153846153847,nan,0.0
