step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
50000,-95.1345,0.0000,-95.1345,nan,-3.3165,nan
75000,2.3224,0.0000,2.3224,nan,-0.1023,nan
100000,8.3210,0.0000,8.3210,nan,-0.0217,nan
125000,10.5095,0.0000,10.5095,nan,0.0276,nan
150000,10.6842,0.0000,10.6842,nan,-0.0088,nan
175000,11.2957,0.0000,11.2957,nan,-0.0000,nan
200000,11.6520,0.0000,11.6520,nan,0.0034,nan
225000,11.3353,0.0000,11.3353,nan,0.0116,nan
250000,11.3184,0.0000,11.3184,nan,0.0051,nan
